Info 0    [10:53:48.26] Starting TS Server
Info 101  [10:54:39.586] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 102  [10:54:39.587] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false Elapsed: 1ms
Info 103  [10:54:39.587] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 104  [10:54:40.727] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 105  [10:54:40.729] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 2ms
Info 106  [10:54:40.729] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 107  [10:54:41.537] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 108  [10:54:41.538] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 1ms
Info 109  [10:54:41.538] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 110  [10:54:42.288] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 111  [10:54:42.295] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: true Elapsed: 7ms
Info 112  [10:54:42.295] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 113  [10:54:42.811] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 114  [10:54:42.817] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: true Elapsed: 6ms
Info 115  [10:54:42.817] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 116  [10:54:42.819] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 117  [10:54:42.828] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: true Elapsed: 9ms
Info 118  [10:54:42.828] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 119  [10:54:44.161] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 120  [10:54:44.166] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: true Elapsed: 5ms
Info 121  [10:54:44.166] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 122  [10:54:44.538] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 123  [10:54:44.542] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: true Elapsed: 4ms
Info 124  [10:54:44.542] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 125  [10:54:44.958] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 126  [10:54:44.964] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 40 structureChanged: true Elapsed: 6ms
Info 127  [10:54:44.964] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 128  [10:54:45.482] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 129  [10:54:45.488] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 41 structureChanged: true Elapsed: 6ms
Info 130  [10:54:45.488] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 131  [10:54:45.490] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 132  [10:54:45.495] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 42 structureChanged: true Elapsed: 5ms
Info 133  [10:54:45.495] Different program with same set of files:: oldProgram.structureIsReused:: 1
